With respect to sun
t, X, Y, Z, R
 9560.616070231976, -143104970827.3872, 39213106617.660126, -2329687.5840134127, 148380256137.87964
 9579.06355885321, -148913581815.91812, -7973763742.002495, 454394.3975849161, 149126911580.9279
 9597.511047474443, -139766258744.08945, -54792634021.15069, -12485359.223730214, 150122749715.6234
 9615.95853609568, -116804675996.42255, -96214617891.72372, -24196191.571484774, 151329394422.02014
 9634.406024716918, -82297900720.85248, -128710563771.30542, -65036076.16469809, 152772241978.305
 9652.853513338156, -40053839194.08354, -149147873353.43375, -99794768.8956762, 154432535817.53204
 9671.301001959393, 6284341240.974716, -156117613638.93646, -156095836.71341264, 156244125006.54065
 9689.748490580627, 52096186533.354195, -149390931358.20746, -198729169.0592608, 158214103406.34402
 9708.19597920186, 93929959896.99863, -129830470171.0971, -242386313.10923484, 160246207762.3826
 9726.643467823094, 128140287307.61072, -99691331865.468, -266336660.5737175, 162352597193.89975
 9745.090956444328, 152584072059.46616, -61347473949.05667, -273033429.93230706, 164455118963.9058
 9763.538445065566, 165542057336.4478, -18362021655.358856, -259159361.83968127, 166557508837.1295
 9781.985933686803, 166539740806.496, 26439369070.92254, -217778942.11158904, 168625540569.722
 9800.43342230804, 155891110677.4736, 69411086646.23836, -161150575.898352, 170645724549.946
 9818.880910929278, 134554995685.66393, 108161991263.06044, -74945917.55624463, 172638549677.78766
 9837.328399550512, 104438667654.2752, 139875950988.62085, 16177194.681603953, 174564364141.34714
 9855.775888171745, 67390961961.78784, 163130350635.78207, 132342597.87938789, 176502324537.81326
 9874.22337679298, 26218344883.305862, 176437537690.86368, 240470685.41087866, 178375065917.25607
 9892.670865414213, -16967492124.550552, 179522576019.7055, 363931310.86689496, 180322997800.46542
 9911.11835403545, -59195401967.27642, 172332014209.0021, 466597309.452431, 182215906134.58618
 9929.565842656688, -98656039876.49733, 155620945024.09753, 570964657.0991284, 184258564888.97842
 9948.013331277925, -132833621441.57535, 130552820776.78828, 644719504.0549835, 186250438016.39462
 9966.460819899163, -160636072736.03455, 98581438397.99655, 702818793.6134979, 188474777662.5064
 9984.908308520397, -180388617763.4959, 61655383476.39431, 725679161.3482329, 190635690101.5418
 10003.35579714163, -191890741155.46103, 21491660600.252613, 696545103.1879821, 193091774013.36746
 10021.803285762864, -194441045448.55325, -19686828937.62858, 634895987.210845, 195436164723.06345
 10040.250774384098, -188669277656.2337, -60329256668.013145, 431984340.51100874, 198080544607.2644
 10058.698263005335, -174736428958.79398, -98374015778.61008, 210333488.94265598, 200525087771.72607
 10077.145751626573, -153678774979.86734, -132610380343.47891, -482202937.4482937, 202985002829.834
 10095.59324024781, -126438223339.66418, -161523555880.04205, -1155513831.7779222, 205128785492.52734
 10114.040728869048, -93840123912.80637, -184024343852.8718, -2157024715.607983, 206580688211.83307
 10132.488217490281, -57659075096.10454, -199509167611.85355, -3076386934.0258303, 207696752643.56143
 10150.935706111515, -18839139739.74958, -207196359425.79114, -4067042295.5388193, 208090810413.31244
 10169.383194732749, 20684653160.336967, -207153102340.7276, -4905977924.269941, 208241041356.27258
 10187.830683353983, 59899433559.15244, -199013354863.45953, -5656732182.950801, 207909249851.24213
 10206.27817197522, 96872815719.7799, -183431108922.30774, -6195910147.138747, 207532415416.23654
 10224.725660596458, 130579952507.70163, -160460217916.72525, -6539625856.795522, 206981574632.00302
 10243.173149217695, 159338033679.38864, -131410437247.99709, -6635541198.548741, 206643031340.33194
 10261.620637838932, 182282640450.17944, -96774278706.711, -6484511992.482554, 206480679300.6896
 10280.068126460166, 198272602842.1518, -58445547519.62248, -6086071737.616713, 206796874569.86752
 10298.5156150814, 206831761568.62494, -17250189914.26036, -5432624363.616517, 207620952827.8269
With respect to Earth
 9560.616070231976, -0.001190185546875, -0.00408935546875, 2.430751919746399e-07, 0.004259033909805277
 9579.06355885321, -735394.2118225098, -1053705.8537025452, -20181.701877884567, 1285110.1018977899
 9597.511047474443, -56280642.215667725, -425293233.07205963, -15727783.531019418, 429289189.19522285
 9615.95853609568, -166795925.2688141, -836679130.959732, -29895339.886925023, 853666550.9534545
 9634.406024716918, -143925905.51101685, -1639822357.5952911, -72643476.61463417, 1647728468.359155
 9652.853513338156, -323217061.1211548, -2648981993.8335266, -108582002.28123577, 2670835997.1127853
 9671.301001959393, -214444457.8569908, -4203687646.89093, -165225209.63074172, 4212395473.839856
 9689.748490580627, -15586553.512245178, -6520740228.159363, -207331357.58372286, 6524054134.939693
 9708.19597920186, 1163987093.8032837, -9594984211.389114, -249639392.04300997, 9668552518.21112
 9726.643467823094, 3585919959.6134644, -13573765655.808228, -271541440.1798903, 14042067895.765503
 9745.090956444328, 8245937534.292755, -17638279153.7498, -275680117.69855815, 19472554451.13345
 9763.538445065566, 15497653188.744934, -21313361249.15705, -258980314.92050704, 26353437971.14907
 9781.985933686803, 25633059922.270355, -22868517820.0922, -214781986.66210005, 34352132387.50066
 9800.43342230804, 38276612781.01117, -21286978623.46617, -155627555.9041556, 43797931056.60963
 9818.880910929278, 52223114256.80574, -14665050349.656921, -67452399.55207838, 54243173895.55634
 9837.328399550512, 65890096169.3934, -2381005829.599884, 24872341.683759, 65933106862.98561
 9855.775888171745, 76641849154.22406, 16288585434.87503, 141334739.71393725, 78353755702.9445
 9874.22337679298, 82296297673.7807, 40410833469.65497, 248816070.0166806, 91683029956.25967
 9892.670865414213, 80058359836.5234, 68577630424.736145, 370750564.2553822, 105415225799.53456
 9911.11835403545, 68659018076.0483, 98049447413.28876, 471171579.8937331, 119699527584.18098
 9929.565842656688, 46818186189.85069, 125686076621.5202, 572811442.4699181, 134124049027.63261
 9948.013331277925, 15422810713.538788, 148030822113.02435, 643639231.1300558, 148833469546.41406
 9966.460819899163, -24496510646.15657, 161728451976.1338, 698908622.9813538, 163574630324.1953
 9984.908308520397, -69840017192.23106, 164234822204.4732, 719315560.8570073, 178469107244.98553
 10003.35579714163, -117720142917.74017, 153508275645.34982, 688340276.60249, 193451018484.0552
 10021.803285762864, -163801447762.99094, 129051467419.04099, 625634934.0598425, 208531980644.0498
 10040.250774384098, -204492479015.02823, 90922433710.61496, 422549531.514685, 223795088135.7308
 10058.698263005335, -235518544435.14108, 41002049809.621826, 201623553.74028915, 239061066494.51654
 10077.145751626573, -253632858100.77814, -18374401497.721832, -489354847.27421886, 254298023600.13632
 10095.59324024781, -255998363241.41168, -83352077938.48666, -1160416792.3627415, 269228671292.78287
 10114.040728869048, -240492622925.54147, -149457758047.18353, -2159196696.9141088, 283158939912.68066
 10132.488217490281, -207062045217.24048, -211916829020.9556, -3075605886.220296, 296298653968.27374
 10150.935706111515, -156167347458.7863, -265334811984.94208, -4063375912.7180533, 307907963338.40717
 10169.383194732749, -90731745666.40036, -305150841942.651, -4899786712.840684, 318391730294.32227
 10187.830683353983, -14215278335.921257, -326837065307.3167, -5648642065.70671, 327194817431.53174
 10206.27817197522, 67728563397.99993, -327836620902.02576, -6186754067.263138, 334816792037.5325
 10224.725660596458, 149445971174.7885, -306357631949.3163, -6530358531.750545, 340927767329.85785
 10243.173149217695, 224233607467.35272, -263492602143.27896, -6627136336.730125, 346053436680.0664
 10261.620637838932, 286408792237.90015, -201196265256.79102, -6477855329.790945, 350074129341.383
 10280.068126460166, 330786584422.3263, -124323810152.83655, -6081864630.732738, 353430563593.6059
 10298.5156150814, 354075391918.5313, -37783352465.37463, -5431310734.774196, 356127033545.73065
