With respect to sun
t, X, Y, Z, R
 10000.0, -81436915260.56427, -127543644341.09442, 7924183.770011434, 151325319896.4291
 10023.392496216515, -26691213210.258926, -149524068881.16074, 9471254.422948997, 151887682605.00345
 10046.78499243303, 31642129969.299175, -148174601956.40387, -75246451.85565314, 151515486719.87714
 10070.177488649548, 85079278118.24992, -124006171673.27287, -148342234.94154957, 150386289879.1057
 10093.569984866066, 124433412339.36403, -79982253511.45375, -247424882.26941258, 147921926036.20673
 10116.96248108258, 143165502437.39484, -22812506305.2677, -305469526.3452694, 144971945022.8599
 10140.354977299095, 136163825583.2286, 38654095958.954575, -205829611.70269603, 141544229475.07617
 10163.74747351561, 103614473992.5885, 92737818021.98032, -67754056.37851086, 139054905353.42825
 10187.139969732125, 50002180402.056656, 128709576456.94019, 289836488.3405397, 138081342410.46008
 10210.53246594864, -13697698391.309082, 138739054404.68152, 589046637.8616934, 139414845458.67426
 10233.924962165154, -75497681933.77759, 121497642274.02367, 1059040524.5741271, 143047889262.13892
 10257.317458381673, -123722814976.04811, 82058813714.51277, 1337418089.3047295, 148468085934.23755
 10280.709954598191, -151208077994.42465, 29482283204.060043, 1342562796.9528875, 154061320092.2158
 10304.102450814706, -156542517666.4327, -27563824486.0776, 1150411161.7844186, 158954860584.65103
 10327.49494703122, -140470324608.86652, -80414553333.16373, 509347161.73206675, 161860038051.47125
 10350.887443247735, -106555359465.4324, -123099500694.18903, -196871474.97688687, 162811456784.66187
 10374.27993946425, -58837174508.11091, -149845326310.69727, -1186720045.280299, 160987090245.53214
 10397.672435680768, -3591465122.77903, -157250849503.75986, -2022511857.476345, 157304859574.00012
 10421.064931897286, 52611037514.06132, -142351764261.72614, -2716424837.2334447, 151787104263.26855
 10444.457428113801, 100591071335.6458, -105702599949.884, -2992375983.5550165, 145947105427.42926
 10467.849924330316, 131459833881.978, -50259088375.16187, -2765798620.491835, 140766876539.15143
 10491.24242054683, 137223419704.15053, 14593938678.66272, -2013487479.994792, 138011970833.29443
 10514.634916763345, 115130523604.18488, 77302642436.12108, -800139561.1903574, 138677237556.4856
 10538.027412979864, 70108591542.07483, 124764138727.90482, 574586421.761349, 143114063145.74902
 10561.419909196382, 11419301431.78495, 150245212515.30713, 1931431034.2478352, 150690924593.35376
 10584.812405412897, -49329427675.43973, 152291289536.41034, 2991738703.4276686, 160109274571.83356
 10608.204901629411, -104798866819.14201, 134297265237.36034, 3731717071.5137258, 170389212243.9446
 10631.597397845926, -149008036388.48764, 101575506226.94157, 4066603773.2431307, 180381583427.63504
 10654.98989406244, -180348217378.08276, 58775072612.491615, 4029455882.86525, 189726711843.02914
 10678.382390278959, -197457724529.32858, 11238241624.532928, 3672984961.5853376, 197811379525.14166
 10701.774886495477, -200953935020.2982, -38145026505.157265, 2954394773.8273516, 204563573237.51703
 10725.167382711992, -191754034591.03915, -85164351965.74078, 2048420774.8576999, 209825576742.58133
 10748.559878928507, -170763837506.8375, -128101975284.0559, 842454621.6765509, 213473918785.24188
 10771.952375145022, -140274757932.51913, -163936843926.96527, -410806333.16183996, 215760203169.17664
 10795.344871361536, -101234617107.19754, -191371454185.41437, -1810250315.7508461, 216505792495.45892
 10818.73736757805, -56803269613.17262, -208617658046.934, -3113352329.837435, 216235130472.51126
 10842.129863794566, -8219853860.530121, -214624003410.19965, -4372112776.660833, 214825846227.68674
 10865.522360011084, 40800959167.19856, -208941015652.40543, -5392509850.140603, 212955735901.39807
 10888.914856227602, 88554416762.68633, -191018784196.44763, -6181098707.264873, 210637761631.90097
 10912.307352444117, 131183496084.40677, -162079287974.5338, -6612772259.682259, 208620550263.43362
 10935.699848660632, 166765932419.716, -122568132811.46274, -6656920354.20645, 207070369645.94403
With respect to Earth
 10000.0, 0.0, 0.0, 0.0, 0.0
 10023.392496216515, -1690316.507259369, 1656338.2406921387, 159702.65191590413, 2371946.7108941576
 10046.78499243303, -505775585.0812187, 485496152.34976196, -84525611.41164897, 706158647.4689561
 10070.177488649548, -1013382918.6124573, 1161312754.6041718, -156173131.7231013, 1549187626.0847273
 10093.569984866066, -2445973065.552414, 2581710756.025009, -252602308.7089536, 3565364299.9766784
 10116.96248108258, -4907792695.199799, 4423285014.96151, -307181371.62361795, 6614094031.514227
 10140.354977299095, -9879836198.293396, 6318954165.094597, -203792578.58374706, 11729530104.005047
 10163.74747351561, -17066598782.929443, 6030507724.776428, -62279164.438032575, 18100820316.504997
 10187.139969732125, -25673905842.367874, 1780231754.830246, 297869457.7126131, 25737276322.826298
 10210.53246594864, -31859122314.35914, -7384491373.219238, 598315496.1040776, 32709209237.083736
 10233.924962165154, -33117609146.1621, -19370878768.391983, 1067996434.0947511, 38381604919.55669
 10257.317458381673, -27909668675.080475, -29919001454.239838, 1344553437.7460957, 40937807434.18642
 10280.709954598191, -17940203548.470963, -34906436940.91614, 1346675034.5836246, 39269883841.43115
 10304.102450814706, -7773693533.287018, -33727395496.707954, 1150805695.2052643, 34630793694.18121
 10327.49494703122, -294830692.67248535, -27323272593.472412, 505941077.6831027, 27329546771.372364
 10350.887443247735, 2749755520.9019775, -19157295731.52794, -203554954.75001118, 19354704073.93388
 10374.27993946425, 2532487299.2060013, -11243551303.530487, -1195652192.2235155, 11587084275.197567
 10397.672435680768, 392132520.80148315, -5289032047.875946, -2032326979.6595953, 5679610978.718635
 10421.064931897286, -1406130098.131363, -195870467.42193604, -2725627173.215123, 3073208515.582317
 10444.457428113801, -3197692027.8631744, 5002052063.937378, -2999558372.1734424, 6651549412.240405
 10467.849924330316, -6186132771.336853, 12041338309.844612, -2769849615.448179, 13817891801.897194
 10491.24242054683, -12907622857.5139, 18843351488.95308, -2013764406.8702433, 22928887244.138626
 10514.634916763345, -23775548203.82315, 22860220909.591507, -796583764.0499544, 32992437589.859756
 10538.027412979864, -35216745228.39624, 20426255354.425262, 581416140.0811508, 40715956294.96995
 10561.419909196382, -43070191338.11257, 13145065691.300934, 1940425135.961226, 45073266840.09618
 10584.812405412897, -43935480689.05249, 5245908636.370239, 3001406516.6782193, 44349232934.48949
 10608.204901629411, -40432324111.53845, 1958859365.4953003, 3740437094.948168, 40652193455.40344
 10631.597397845926, -36449479793.884186, 6126680986.481735, 4072906886.822173, 37184531295.46763
 10654.98989406244, -38293329732.33826, 16096257540.137123, 4032280422.0567646, 41734013636.24285
 10678.382390278959, -49164678857.03937, 28347196359.428062, 3671850192.8572674, 56870129878.47462
 10701.774886495477, -70266791203.81487, 36032969621.97051, 2949464108.3243084, 79022124651.16751
 10725.167382711992, -99293904136.324, 34412550895.62378, 2040455105.999824, 105107880364.97073
 10748.559878928507, -130880650199.4038, 18353772201.009384, 832677211.8019718, 132163909226.24942
 10771.952375145022, -159088600842.43698, -13022300812.078094, -420903252.99804956, 159621240428.68753
 10795.344871361536, -175884188223.80273, -58974573886.58542, -1819127473.7175767, 185516999913.79773
 10818.73736757805, -175896301392.4763, -114926553707.85077, -3119647839.7546763, 210136512280.3756
 10842.129863794566, -153418828797.41556, -174040998920.1247, -4374845597.080771, 232049015530.52072
 10865.522360011084, -107820062788.27077, -227778245263.97504, -5391238643.16503, 252065785876.0482
 10888.914856227602, -39847008318.25148, -266247986069.89795, -6176011071.277396, 269284082839.93304
 10912.307352444117, 43815248466.9259, -281469810424.2517, -6604680783.113196, 284936224420.00854
 10935.699848660632, 134828464607.79767, -266402241070.4524, -6647151442.486551, 298652060997.6682
