With respect to sun
t, X, Y, Z, R
 10280.534079826219, -133062956373.78789, 64797701196.36633, -4138287.0328138703, 148001663694.67462
 10288.871768425266, -141365081448.50275, 44805747751.71926, -2883025.210362451, 148295789868.91147
 10297.209457024313, -146709161815.4, 23802265979.544456, -7933277.702467034, 148627474207.41257
 10305.547145623357, -148981456223.11075, 2299869412.450329, -12817542.36379809, 148999207588.3707
 10313.884834222401, -148153619191.8958, -19320510252.699215, -29641502.895814385, 149408091731.00574
 10322.222522821448, -144271880429.8994, -40543283473.8552, -45854968.11013453, 149860386427.83047
 10330.560211420496, -137415519256.38025, -61002316578.8343, -77098883.80388361, 150347309602.54266
 10338.897900019543, -127779036224.85341, -80227989580.85474, -106784180.18721919, 150877512617.3522
 10347.23558861859, -115538118445.14308, -97900323362.0224, -151720407.91625285, 151438281644.08972
 10355.573277217634, -101009466324.38364, -113635233235.24724, -193654794.6831621, 152039192387.17804
 10363.910965816678, -84444416789.48094, -127184294841.05292, -248997902.25137323, 152665537634.02786
 10372.248654415725, -66246878512.29855, -138276191600.10638, -299531619.9202616, 153326591937.74545
 10380.586343014773, -46716735560.655396, -146750392133.73648, -360072083.11957014, 154007339515.86423
 10388.924031613817, -26306342654.954548, -152462458358.53256, -413836968.7461682, 154715856115.79657
 10397.26172021286, -5334833384.277958, -155345627940.82596, -473440209.27481973, 155437925594.75082
 10405.599408811908, 15735267918.32029, -155384462310.40872, -524377092.5611619, 156180039554.6478
 10413.937097410955, 36593253937.55879, -152602613019.59952, -576641408.1122341, 156929781270.03766
 10422.274786010003, 56800987194.34132, -147105190610.66373, -618647055.5149285, 157691699131.66238
 10430.61247460905, 76079599580.57309, -138995383894.47696, -657562635.292621, 158455844338.2026
 10438.950163208094, 94043907313.69533, -128482558438.93854, -685113202.4444475, 159224664251.3098
 10447.287851807137, 110464518407.7125, -115733520888.29108, -705527483.519485, 159991110544.54984
 10455.625540406185, 125030649947.22809, -101040339365.20801, -714093954.0531948, 160755477466.36163
 10463.963229005232, 137573882096.4534, -84614942657.14597, -712048048.5274706, 161513988769.965
 10472.30091760428, 147871813176.23508, -66807647127.16405, -698378461.354433, 162264668302.03772
 10480.638606203327, 155822584991.67688, -47856291500.04723, -671405338.0627972, 163007218903.80756
 10488.97629480237, 161299129694.8672, -28144279916.001934, -633769107.8952694, 163737324381.44327
 10497.313983401415, 164266526845.321, -7916939642.837475, -580876743.7652748, 164458223245.06717
 10505.651672000462, 164693763135.1743, 12433510944.390553, -518999769.1884158, 165163244006.61786
 10513.98936059951, 162609108780.8458, 32670820147.5949, -440714598.7643293, 165859274618.5
 10522.327049198557, 158072866720.42426, 52416212786.63408, -355782687.2044904, 166537134409.7983
 10530.664737797604, 151169302648.27902, 71456647969.42554, -254036092.11667675, 167207281948.27368
 10539.002426396648, 142041095648.54712, 89446160926.81013, -148548412.85888565, 167858007328.2639
 10547.340114995692, 130818892950.4334, 106206237633.34764, -26579454.466822088, 168503259231.01746
 10555.677803594739, 117715423832.74422, 121439698834.37793, 95774991.24102144, 169128739822.5268
 10564.015492193786, 102896433103.95862, 135010879629.53601, 233664349.8300922, 169751783975.56497
 10572.353180792834, 86629953877.99971, 146683645989.76437, 368271025.2468078, 170355441748.43054
 10580.690869391881, 69104429676.62071, 156370396970.94107, 516764048.9078873, 170960200909.05066
 10589.028557990925, 50627058627.27844, 163904484007.47656, 658145873.44588, 171546530419.58545
 10597.366246589969, 31396213551.22149, 169248379256.71613, 811242792.5077634, 172137718763.92322
 10605.703935189016, 11741468770.782467, 172309644308.96014, 953401508.7505109, 172711854211.61023
 10614.041623788064, -8141366701.500828, 173099740856.33643, 1104414850.8547919, 173294610038.69083
 10622.379312387107, -27917014833.069954, 171601560291.27573, 1240831688.4753814, 173861999513.6065
 10630.717000986151, -47403835128.19072, 167871181320.69446, 1382315172.344265, 174441302156.63336
 10639.054689585199, -66276681448.62722, 161964984213.62827, 1505885816.9249592, 175007206443.78415
 10647.392378184246, -84377726450.13818, 153976391820.9636, 1629638470.2588084, 175587544206.9881
 10655.730066783293, -101406808545.1993, 144030775761.5128, 1732682937.637436, 176156769316.27768
 10664.06775538234, -117236561863.89957, 132248831884.95734, 1829062004.483236, 176741365957.2085
 10672.405443981384, -131605668774.28711, 118818595856.17975, 1902649757.8898425, 177317598818.7939
 10680.743132580428, -144419081556.79382, 103876593891.90314, 1960362196.1869628, 177907450367.40726
 10689.080821179476, -155468170325.001, 87665074413.51982, 1994123134.2965953, 178492279337.8084
 10697.418509778523, -164686809545.1801, 70327070948.324, 2000288307.871859, 179085575353.39255
 10705.75619837757, -171932829080.40366, 52146269673.70267, 1982492004.91786, 179677659799.4959
