With respect to sun
t, X, Y, Z, R
 9497.0, -26071582183.647785, 144774313824.27957, -8544200.723543694, 147103125098.86746
 9506.002353838405, -48826920259.78497, 138776264726.4226, -8165180.63478849, 147115328433.6602
 9515.00470767681, -70434250229.63947, 129270726419.10083, -5349727.8052536985, 147213804865.41696
 9524.007061515218, -90273284750.901, 116519171620.59859, -2399912.8205820075, 147397365311.01004
 9533.009415353627, -107926449185.4117, 100812258050.59723, 2047033.140395735, 147686254645.52145
 9542.011769192031, -122896055045.77943, 82597755782.6635, 6443198.041186465, 148073730444.20328
 9551.014123030436, -134889598098.86673, 62282991076.72642, 11118780.33293806, 148574475521.08218
 9560.016476868845, -143588705098.009, 40445897556.75189, 15522974.490541793, 149176362409.92404
 9569.018830707253, -148856016754.77292, 17554718821.389732, 18654553.86580372, 149887565278.06992
 9578.021184545658, -150581922194.9256, -5755523360.690086, 21342475.677506167, 150691877009.26465
 9587.023538384063, -148787997991.41833, -29016511726.952843, 21172198.49656409, 151590985046.4621
 9596.025892222468, -143571453687.55542, -51611712129.41077, 20514896.228145737, 152566482438.79782
 9605.028246060872, -135092552999.63701, -73125726718.94391, 15825624.375107598, 153614354910.54794
 9614.03059989928, -123626332690.20332, -93024732392.62688, 10786110.952713393, 154716098346.25763
 9623.03295373769, -109435971121.23903, -110982756814.3061, 1004025.1049542464, 155863414842.4836
 9632.035307576094, -92927981594.16101, -126592960832.32245, -8800089.32029863, 157039445913.75833
 9641.037661414499, -74427306307.02074, -139636626881.70947, -23466020.04645776, 158233410004.57184
 9650.040015252904, -54419314950.94754, -149856014854.35617, -37658287.68866289, 159431140138.63812
 9659.042369091309, -33252128593.288643, -157141490584.7929, -56132759.65535874, 160621154491.18732
 9668.044722929717, -11440130739.724468, -161387411370.66815, -73522601.45526999, 161792393349.74985
 9677.047076768125, 10676859126.49858, -162584011973.91776, -94189539.75909731, 162934235635.15292
 9686.04943060653, 32597368721.22963, -160767129744.41553, -113111963.80954362, 164038627305.04025
 9695.051784444935, 54012951288.4573, -156011594257.6828, -133749468.65598261, 165097045214.72656
 9704.054138283343, 74467348477.29362, -148476031558.719, -152005026.6891401, 166104006701.20074
 9713.056492121752, 93698816449.28787, -138302299092.2026, -170404165.19450194, 167053952888.7776
 9722.058845960157, 111319609006.4192, -125749327089.69824, -185873281.0065161, 167943392730.20108
 9731.061199798562, 127123943660.29668, -111008537021.88661, -199871731.390418, 168770353712.35928
 9740.063553636966, 140808366911.07727, -94415449500.25893, -210536704.64033172, 169532644709.5205
 9749.065907475371, 152227961394.55707, -76194713537.15044, -218195495.29701433, 170232294852.13824
 9758.06826131378, 161173433502.97803, -56734838203.65719, -222307731.28048116, 170867688443.0214
 9767.070615152188, 167562594839.8869, -36278654502.927414, -222120967.2372313, 171445073710.92047
 9776.072968990593, 171285524717.4578, -15244652977.079788, -218399626.06029856, 171962723055.0944
 9785.075322828998, 172322511495.56622, 6120114471.418976, -209190142.2758027, 172431283500.98904
 9794.077676667403, 170664151454.93976, 27389585384.3196, -196708443.2345095, 172848143390.58197
 9803.080030505807, 166351039195.44244, 48325798804.576324, -177896404.179593, 173228411984.39313
 9812.082384344216, 159471652778.3885, 68516853826.90881, -156339753.8328047, 173567830372.81857
 9821.084738182624, 150122683756.79642, 87746748928.49965, -127978463.71991207, 173885964080.92126
 9830.08709202103, 138483919140.8873, 105638588549.2284, -97664866.96891052, 174176108550.28085
 9839.089445859434, 124701520303.2106, 122010652201.7633, -60441653.399841376, 174462236801.6218
 9848.091799697842, 109035808713.87987, 136540404158.6593, -22305245.49787742, 174734341350.58798
 9857.09415353625, 91672984666.04639, 149091679675.9265, 22559749.191590805, 175020757554.9613
 9866.096507374656, 72938794924.7682, 159413145865.14612, 67087869.00658958, 175307225693.87125
 9875.09886121306, 53047010465.39856, 167423511249.12625, 117765760.47709247, 175626396954.0933
 9884.101215051465, 32369711389.408356, 172955662158.3478, 166701095.63657606, 175958765275.62195
 9893.10356888987, 11133034455.994179, 175989412061.97516, 220840582.64562225, 176341334872.68655
 9902.105922728279, -10266794666.616413, 176449640257.50464, 271751508.85237956, 176748285617.17883
 9911.108276566687, -31608414354.793884, 174379193270.82178, 326485457.9179449, 177221052633.59988
 9920.110630405092, -52495080199.16488, 169796439307.28915, 376516851.78717667, 177726492148.72375
 9929.112984243497, -72727752492.2695, 162804002943.75555, 429150744.92355716, 178310553606.47906
 9938.115338081905, -91932194854.23279, 153508578195.03104, 475715674.10356843, 178931937718.1703
 9947.117691920314, -109947889473.69403, 142064129275.58154, 522469861.29999614, 179641387773.82217
 9956.120045758718, -126443164611.7963, 128654163188.69812, 561997751.4384676, 180388700933.0202
 9965.122399597123, -141309657951.30368, 113470939282.1032, 598823740.1395679, 181230328813.22305
 9974.124753435528, -154272752007.7822, 96758426784.51077, 627582911.9746438, 182106202602.1618
 9983.127107273933, -165283465839.57996, 78730868741.06876, 649639194.9532527, 183078113939.78967
 9992.129461112341, -174134325975.9554, 59673668330.41466, 663205521.9195733, 184076478716.51865
 10001.13181495075, -180837926099.07425, 39805476759.34323, 663620081.6785611, 185168225912.18414
 10010.134168789155, -185257240018.32886, 19433672423.68707, 655651097.4131551, 186274911035.92404
 10019.13652262756, -187461973130.59305, -1235789991.4787788, 624235662.10482, 187467085689.94205
 10028.138876465964, -187384484846.17508, -21891009720.467396, 585219078.985218, 188659757099.96667
 10037.141230304369, -185137020491.37552, -42352770941.03299, 501902359.2275131, 189920313470.63907
 10046.143584142777, -180721553516.5529, -62319382704.08527, 412705241.170474, 191165257543.4946
 10055.145937981186, -174274906196.6767, -81647789702.98933, 264556017.45935202, 192453044878.8234
 10064.14829181959, -165866696558.96606, -100058038467.63411, 113423905.29640102, 193709537592.6466
 10073.150645657995, -155624395870.18713, -117431947861.12921, -118758090.74835932, 194959557529.0009
 10082.152999496404, -143696927439.69397, -133535111679.80609, -349662325.81236625, 196164612687.1232
 10091.155353334812, -130192751200.46678, -148263877301.2022, -658797925.740042, 197313871261.60074
 10100.157707173217, -115328490503.35785, -161444671235.4882, -961062500.4997268, 198408584071.47568
 10109.160061011622, -99198140720.54553, -172979834857.05945, -1321101981.3628306, 199409226717.40613
