With respect to sun
t, X, Y, Z, R
 9642.64957276384, -63942399672.59868, -137401900841.37975, 8232907.88313605, 151551683918.3764
 9657.188571175197, -29046524918.11612, -149069434070.75012, 8888284.89784116, 151872962909.77557
 9671.727569586554, 7932887140.628002, -151879893193.22797, -8549250.284094017, 152086924907.63943
 9686.26656799791, 44444042319.723045, -145693993380.6771, -25481151.445052564, 152322070804.6447
 9700.805566409268, 78660848597.30157, -130760448027.77863, -53934901.17266092, 152596942234.91687
 9715.344564820629, 108267968541.29845, -108159069254.69176, -79228303.46554849, 153037065939.02298
 9729.88356323199, 131815237109.61316, -78982472107.07161, -107590898.30470479, 153666844863.19513
 9744.422561643347, 147797762787.97067, -45266846899.51134, -129780292.02819146, 154574522338.8293
 9758.961560054704, 155543538346.99847, -8629767642.331612, -146052251.8771878, 155782818508.0919
 9773.500558466061, 154717763874.0296, 28491993906.30084, -154277913.1019176, 157319432927.4395
 9788.039556877418, 145561166055.28207, 64478025197.3313, -149708184.682953, 159202673373.47592
 9802.57855528878, 128880763823.93556, 97144697169.89433, -137401921.69800273, 161391952560.71356
 9817.11755370014, 105615794654.5289, 125346898866.34279, -107983610.98369038, 163910197353.23676
 9831.656552111497, 77338703379.65556, 147622084314.19437, -73438644.38974753, 166654013485.86823
 9846.195550522854, 45268962685.07768, 163517569829.08728, -20025934.54220289, 169668132029.65207
 9860.734548934211, 11251993450.1865, 172430917472.78973, 34263522.43302286, 172797655745.3834
 9875.273547345569, -23602716943.271786, 174538941688.35898, 107255063.26568109, 176127629622.51318
 9889.812545756926, -57567883154.362595, 169975592745.44803, 176173181.96389794, 179459729011.9173
 9904.351544168283, -89874041432.91281, 159333977004.14075, 262080505.47007942, 182933671689.03687
 9918.89054257964, -119122968862.15541, 143250431680.65878, 339070003.05954546, 186309105670.3781
 9933.429540990997, -144955523024.9003, 122507055247.09262, 429679075.6611244, 189790059973.76328
 9947.968539402358, -166363000911.18423, 98012183148.13335, 507175132.7082281, 193088822421.84076
 9962.507537813719, -183378034583.633, 70560362784.03355, 590203685.8011372, 196485665391.55283
 9977.046536225076, -195342563749.8863, 41157345342.81696, 656983683.4416196, 199632351876.1591
 9991.585534636433, -202602142768.05225, 10501372929.698635, 708887566.8013395, 202875354859.07892
 10006.12453304779, -204788932826.4014, -20423487655.21179, 743047279.6255717, 205806166028.71423
 10020.663531459148, -202474243359.51154, -51080174495.54399, 698506065.1685803, 208819279189.50635
 10035.202529870508, -195508247550.87, -80568317950.94493, 637912815.6070044, 211459536674.5542
 10049.74152828187, -184404856207.98306, -108544294701.97314, 251270719.99047828, 213979153289.31094
 10064.280526693226, -169363083592.1354, -134206073634.86847, -140780997.36596203, 216090592353.33127
 10078.819525104584, -150397917959.71024, -157031898086.72858, -789709579.9367678, 217437748297.20135
 10093.35852351594, -128371657863.45444, -176663904145.94022, -1422605341.1407814, 218383702177.27878
 10107.897521927298, -103310162409.50798, -192599840331.47723, -2174332232.785288, 218569018558.09293
 10122.436520338655, -76179326504.07944, -204677974779.75165, -2882507344.6982718, 218413992214.66565
 10136.975518750012, -47061094106.435074, -212437227005.29092, -3633812828.40545, 217617845297.35638
 10151.51451716137, -16989193640.738922, -215885620976.1163, -4311353223.914442, 216595987523.8395
 10166.053515572727, 13874382136.146301, -214614337388.3506, -4970669488.157515, 215119780232.923
 10180.592513984087, 44444300842.40402, -208836024079.6084, -5525547818.03754, 213584438827.9219
 10195.131512395448, 74467042430.8983, -198225395967.58286, -6010042137.5624075, 211836655518.8348
 10209.670510806805, 102849969206.89586, -183257601864.59146, -6362360242.724681, 210242584732.2058
 10224.209509218163, 129268945681.32275, -163739353062.80707, -6601009273.949151, 208721367814.65887
With respect to Earth
 9642.64957276384, 0.0, 0.0, 0.0, 0.0
 9657.188571175197, 902652.8541412354, -320372.88650512695, -57112.32167644054, 959522.1616951942
 9671.727569586554, 355255715.8944359, -12654282.11819458, -17676218.281023763, 355920220.30830646
 9686.26656799791, 689809316.2703171, -32248150.423553467, -34248281.249011405, 691411441.0302839
 9700.805566409268, 1322512801.2147217, 66138793.604019165, -61820895.59819199, 1325607887.92492
