With respect to sun
t, X, Y, Z, R
 9497.0, -26071582183.647785, 144774313824.27957, -8544200.723543694, 147103125098.86746
 9506.063204556835, -48977182251.65248, 138723602461.49286, -8162815.370736791, 147115608715.85803
 9515.126409113669, -70715345375.03871, 129118999979.5428, -5038603.741544193, 147215407660.39304
 9524.189613670504, -90654191877.28424, 116228416021.5754, -1786129.243320257, 147401584791.3384
 9533.252818227338, -108367887530.50546, 100349659663.81859, 3016878.815857472, 147694459109.23694
 9542.316022784173, -123351041578.86484, 81941446416.52325, 7743997.561194172, 148087407160.0698
 9551.379227341007, -135306777764.15929, 61420998221.885284, 12365911.167744305, 148594963859.50696
 9560.442431897845, -143914546842.42252, 39379563042.98952, 16682013.7254744, 149205050372.31882
 9569.505636454684, -149037266329.25452, 16296022337.15916, 19043102.989255045, 149925539724.05804
 9578.568841011518, -150568988509.53137, -7181631968.991194, 20945461.680018328, 150740162455.90884
 9587.632045568353, -148535894210.8891, -30575767701.23782, 19127142.779539466, 151650221910.14456
 9596.695250125187, -143043747647.7656, -53259609648.97908, 16863283.626903657, 152637151589.8066
 9605.758454682022, -134260549357.13162, -74811305493.72305, 9510094.111484699, 153696540734.64316
 9614.821659238856, -122473007055.24994, -94691053479.55055, 1943562.4351214934, 154809667236.90042
 9623.88486379569, -107953597513.91151, -112570038491.01707, -11380919.337860871, 155967922700.7592
 9632.948068352525, -91121585545.9838, -128040197887.32726, -24462798.604674917, 157154179791.2753
 9642.01127290936, -72311214139.61179, -140883545422.317, -43172395.84794904, 158357465643.28003
 9651.074477466194, -52019951675.63394, -150845551905.80396, -61000189.60611936, 159563340473.6972
 9660.137682023029, -30604044238.24424, -157820308972.37137, -83625525.63306572, 160760270095.25613
 9669.200886579867, -8588048120.780148, -161709019980.7261, -104617006.75039601, 161936940376.0915
 9678.264091136705, 13682001059.878065, -162507794912.72418, -128989773.47477026, 163082792466.77188
 9687.32729569354, 35697161896.98624, -160261993753.23285, -150947465.86880738, 164189575778.72702
 9696.390500250374, 57144997357.15279, -155053680487.9652, -174456594.07310602, 165248978789.32935
 9705.453704807209, 77564902110.01048, -147052658967.5694, -194825204.21178225, 166255335269.66275
 9714.516909364043, 96693424875.12709, -136408621096.20087, -214793606.83580905, 167203398469.47574
 9723.580113920878, 114141747082.49254, -123392466367.87428, -231028553.4875669, 168089537323.36588
 9732.643318477712, 129704597014.64847, -108203501658.6048, -244892614.09968427, 168912226408.5951
 9741.706523034547, 143080684624.65854, -91189158070.7322, -254627278.65524396, 169669118278.37445
 9750.769727591382, 154127637700.98837, -72581505270.08171, -260173948.84816772, 170362763833.65494
 9759.832932148216, 162641459593.7232, -52780192326.827614, -261444167.2015453, 170991407485.54056
 9768.89613670505, 168544349243.46292, -32034595541.57045, -256980351.01990402, 171561881000.1663
 9777.959341261889, 171734581766.70987, -10772857460.117992, -248380191.18551713, 172072318300.0745
 9787.022545818727, 172198434598.8686, 10752692259.734934, -232818180.26386565, 172533983532.05215
 9796.085750375561, 169937250096.4189, 32108512280.512207, -213571500.60526457, 172944127231.85052
 9805.148954932396, 164998920008.90546, 53053007939.54597, -186519481.4339132, 173318493084.42438
 9814.21215948923, 157484701226.5072, 73169624906.00214, -156555260.36503556, 173652669541.34863
 9823.275364046065, 147499513972.74368, 92240737891.28252, -118413582.8115983, 173966877222.93713
 9832.3385686029, 135237234629.94997, 109888180889.20206, -78443437.12742552, 174254205352.02863
 9841.401773159734, 120852679839.42404, 125930936626.54828, -30311832.835705973, 174539313459.22403
 9850.464977716569, 104620651517.14886, 140048967932.7097, 18283693.821136873, 174811883112.05652
 9859.528182273403, 86735699833.08307, 152109294812.4127, 74564709.06724307, 175100898780.56024
 9868.591386830238, 67537447935.520294, 161867019820.7657, 129717611.44804516, 175391721030.2641
 9877.654591387072, 47246921398.34808, 169246447034.7694, 191734582.6757673, 175717580730.17307
 9886.71779594391, 26248350308.10102, 174090681208.6507, 250880269.7524485, 176058524697.04095
 9895.781000500749, 4773182005.3028755, 176387140194.26215, 315554514.0296143, 176451993661.21472
 9904.844205057583, -16772966686.697504, 176074220484.4643, 375561646.6977293, 176871717855.72525
 9913.907409614418, -38166065518.10129, 173203637568.18634, 439343530.43282205, 177359357370.06207
 9922.970614171252, -59003606893.33887, 167809767219.05182, 496726392.12735677, 177881394017.6
 9932.033818728087, -79086981776.27483, 160004427458.7594, 555591787.248901, 178483826088.30493
 9941.097023284921, -98040333453.58113, 149911676563.93436, 606516632.679643, 179125055802.71222
 9950.160227841756, -115706656525.52394, 137693722209.92062, 656024059.1334652, 179855558345.86966
 9959.22343239859, -131756999969.11218, 123551748111.34047, 696367706.614833, 180625099114.74533
 9968.286636955425, -146089129151.3385, 107683886988.7612, 731374959.6958177, 181489360797.09033
 9977.34984151226, -158435314571.59045, 90351288987.26291, 756438642.891416, 182388805918.78214
 9986.413046069094, -168754111127.95215, 71770389038.76254, 770384380.6174438, 183383565941.59262
 9995.476250625929, -176848933014.44733, 52242807163.29051, 774176180.0986992, 184405681467.2668
 10004.539455182763, -182740070598.53024, 31985960152.43719, 758831721.4339957, 185519839571.97293
 10013.602659739601, -186304849770.29974, 11321096046.976389, 733825476.2686553, 186649947129.5624
 10022.66586429644, -187616811882.16928, -9552392004.45018, 676618480.1203231, 187861049998.1399
 10031.729068853274, -186628203365.28046, -30309573668.087906, 611112282.2269217, 189074403358.87674
 10040.792273410108, -183450046622.83246, -50780457730.94928, 495173247.0213175, 190349204594.68353
 10049.855477966943, -178109169043.33517, -70653524315.48363, 373392308.48841, 191611419329.12564
 10058.918682523778, -170730214776.55188, -89791559289.5197, 183100061.22862223, 192902472464.51584
 10067.981887080612, -161417093345.21616, -107913230318.69661, -9273349.894801766, 194166792701.09323
 10077.045091637447, -150305609312.4484, -124850885099.17574, -217875281.705487, 195395924139.86615
 10086.108296194281, -137555471110.1456, -140428278235.61917, -424109472.9591978, 196575148046.23608
 10095.171500751116, -123272378480.45569, -154546581681.67462, -701746857.9688026, 197689700425.62134
 10104.23470530795, -107691435656.73737, -167038698547.74567, -972006436.0900846, 198746866447.86542
 10113.297909864785, -90911129075.40353, -177816991113.1877, -1297479966.9386795, 199713292428.36282
 10122.361114421623, -73202358540.98055, -186780306991.3723, -1609716050.794642, 200619190411.87894
 10131.424318978461, -54663741508.616516, -193860202883.99902, -1962098817.7942019, 201429274758.45438
 10140.487523535296, -35580869374.795456, -199011352776.01602, -2294965776.5497046, 202180077324.94736
 10149.55072809213, -16049835280.906622, -202184811862.51147, -2649572989.11234, 202838151237.50275
 10158.613932648965, 3637885192.9469223, -203388231477.13983, -2978368166.899409, 203442565823.9034
 10167.6771372058, 23388807223.853703, -202591919084.0137, -3313502406.6618648, 203964460825.1572
 10176.740341762634, 42915816740.95973, -199854072359.1323, -3616885880.2359824, 204441921896.0328
 10185.803546319468, 62129511739.9689, -195163163045.82257, -3912520369.8195124, 204851273500.41425
 10194.866750876303, 80755672161.25572, -188626079809.92886, -4171147358.2819023, 205228348531.4891
 10203.929955433137, 98713141087.5537, -180251527822.4643, -4408847104.237487, 205558593686.79395
 10212.993159989972, 115746589228.46202, -170189399430.41458, -4605272963.245632, 205871108064.1806
 10222.056364546806, 131785274832.6907, -158466278705.9366, -4771131385.909684, 206159365162.82013
 10231.119569103645, 146601061799.17377, -145272472495.7051, -4892713507.639545, 206445879666.14496
 10240.182773660483, 160136591894.20483, -130649799717.12267, -4974991470.033449, 206731344429.77505
 10249.245978217317, 172198421069.19165, -114824618604.92986, -5011483498.432501, 207031650293.72992
 10258.309182774152, 182748037040.1775, -97852513882.44638, -5002600134.266701, 207357144857.0215
 10267.372387330986, 191631043280.30063, -79987852234.36705, -4948092252.818329, 207713737799.65973
 10276.435591887821, 198830582963.972, -61295131576.58662, -4842868202.035502, 208120511361.10132
 10285.498796444655, 204236718730.50583, -42049348417.386765, -4693960028.821231, 208573292252.1067
 10294.56200100149, 207858568232.10773, -22319009412.74038, -4492663634.630195, 209101665692.07837
 10303.625205558325, 209631825205.8289, -2389936939.485195, -4251408362.940538, 209688550976.8485
 10312.688410115159, 209594347079.89026, 17671540194.90263, -3956236345.899185, 210375201643.94418
 10321.751614671994, 207726426988.1259, 37578987827.71402, -3626509075.1271973, 211129345102.66602
 10330.814819228828, 204096098530.18115, 57275299571.71924, -3243772799.6043577, 212005187290.894
 10339.878023785666, 198724040510.21674, 76483212275.3483, -2833348611.930345, 212952938230.53717
 10348.941228342504, 191708740119.94208, 95161481813.70126, -2371926343.650243, 214041058430.2334
 10358.004432899339, 183103518421.02524, 113051020376.47408, -1890824521.7983525, 215199923056.89362
 10367.067637456174, 173037901773.76416, 130131095898.00887, -1360585263.9436436, 216513437832.7223
 10376.130842013008, 161585629850.89316, 146168968409.80942, -819431582.683316, 217889776190.66116
 10385.194046569843, 148907079817.11728, 161166976603.91434, -233467447.09871244, 219426906450.31857
 10394.257251126677, 135081945435.98145, 174924786974.4747, 354309913.61022043, 221011173057.72058
 10403.320455683512, 120297419039.66504, 187467947616.7555, 979470411.9983767, 222747973668.74368
With respect to Earth
 9497.0, 0.0, 0.0, 0.0, 0.0
