With respect to sun
t, X, Y, Z, R
 9497.0, -26071582183.647785, 144774313824.27957, -8544200.723543694, 147103125098.86746
 9523.026287769706, -88061911164.35281, 118084277429.59984, -6908139.248875641, 147305114716.7384
 9549.052575539412, -132445923582.39044, 66681187446.29894, -11469674.44689707, 148284535823.5116
 9575.078863309122, -150101049290.24924, 1747007822.0389557, -13717238.868105736, 150111216178.29474
 9601.105151078831, -138533133057.8716, -64268118048.541916, 4583386.787953509, 152714832198.24692
 9627.131438848537, -101237989459.87354, -118478062332.27588, 22066892.093379322, 155840245927.7957
 9653.157726618243, -45678670437.0181, -152506673577.25656, -5825160.608156558, 159200585590.7135
 9679.184014387949, 17483301075.506844, -161545094626.5977, -32810251.869029082, 162488413405.15897
 9705.210302157655, 78703924185.46344, -145545114652.4014, -42920304.98990707, 165462049798.50946
 9731.236589927365, 128466972615.07527, -108194365920.68816, -46752812.45915207, 167957691266.84177
 9757.262877697074, 160710082996.64258, -55144349953.9555, -192667474.84083873, 169907819800.58456
 9783.28916546678, 171210506739.3346, 5410406952.431374, -312589814.0240303, 171296257500.631
 9809.315453236486, 159082522510.39438, 65967426037.32425, -332879519.6154989, 172218062569.04227
 9835.341741006192, 126265015238.76546, 117964235489.51953, -309889854.80675614, 172796154354.1829
 9861.368028775898, 76769296361.27124, 155338167154.1477, -118325524.69921759, 173272862963.4324
 9887.394316545608, 17466883732.240257, 172894420106.25757, 88375441.80046482, 173774510045.09665
 9913.420604315317, -44743840762.722, 168770297796.71124, 184118970.3555685, 174600855107.83063
 9939.446892085023, -101397246209.60352, 143595850074.1579, 256934943.56428063, 175787473140.0853
 9965.47317985473, -146329394381.42987, 100521008115.53828, 362681379.12063944, 177529986961.0284
 9991.499467624439, -173920755607.6685, 45483206431.92951, 425444350.04192567, 179770220841.4031
 10017.525755394148, -181978481907.66736, -15458146802.165932, 351136855.338935, 182634184853.405
 10043.552043163854, -170175809408.37552, -74768963965.52502, 238423229.19527853, 185877004833.59946
 10069.57833093356, -140566831793.95312, -127122673075.72946, -69985197.71775275, 189523647887.1072
 10095.604618703266, -97175733049.99521, -167090053756.14685, -371848851.5926361, 193293423141.1002
 10121.630906472972, -44210942274.54305, -192197838204.0222, -793024385.1889017, 197218775259.29922
 10147.657194242682, 12643290994.030998, -200619421877.9271, -1145627766.039898, 201020689743.05045
 10173.683482012391, 69295358951.31755, -192604125922.34042, -1508187046.1174998, 204696044716.71353
 10199.709769782097, 120594654566.66022, -169597254861.44052, -1753647064.694066, 208109045561.73434
 10225.736057551803, 163700648950.06778, -133611066111.41832, -1855413326.9497535, 211313184663.70468
 10251.76234532151, 195246420884.30212, -88152373467.33067, -1825951989.0662782, 214231976877.21637
 10277.788633091215, 213975962229.17728, -35986918299.44203, -1537331131.5937786, 216986483651.86523
 10303.814920860925, 218726296480.148, 18551968317.167908, -1148104087.0652604, 219514661112.5497
 10329.841208630634, 209811835625.1219, 72717943524.51146, -378201799.2899932, 222056408859.14145
 10355.86749640034, 188095024937.92474, 122466510923.55646, 415037247.3371376, 224450344085.51212
 10381.893784170046, 155132560164.31158, 165820838001.70923, 1428304588.1880322, 227078624253.1857
 10407.920071939752, 113307563930.07968, 199728029295.14386, 2360410350.718056, 229642028529.00143
 10433.946359709458, 65089500442.09399, 223364236916.33926, 3648738415.3792677, 232683344253.60953
 10459.972647479168, 13401365545.656616, 235157340425.6639, 4743914861.793809, 235586663635.22333
 10485.998935248877, -38994418440.676216, 235771003804.16086, 5971091347.724002, 239048498920.68146
 10512.025223018583, -89498609450.67111, 224840804183.71722, 6906319315.268593, 242097264681.09647
 10538.05151078829, -135607689696.3104, 204217317135.02148, 7604541285.316652, 245259020569.59464
With respect to Earth
 9497.0, 0.0, 0.0, 0.0, 0.0
 9523.026287769706, -1754807.7839050293, -80506.89636230469, 79903.17881274503, 1758469.8566651498
 9549.052575539412, -533853487.70092773, -357762967.1378708, -7491623.09334128, 642689669.5935843
 9575.078863309122, -1160490452.0602112, -570680615.4470558, -13579335.442614188, 1293289933.6656907
 9601.105151078831, -2290284918.130127, -1353882239.4756622, 829833.6676864242, 2660526792.423988
 9627.131438848537, -4326135701.685989, -2579036116.7092285, 15133529.625841625, 5036576855.803123
 9653.157726618243, -6691505094.896782, -5801816384.560455, -14625024.24873371, 8856496355.022003
 9679.184014387949, -8840986860.25333, -11747479162.453827, -41819749.01259873, 14702655006.047934
 9705.210302157655, -7988584662.632126, -20797921109.319138, -50443243.732548945, 22279442360.668324
 9731.236589927365, -2236545150.2479095, -32005650461.672318, -51359676.407503664, 32083740952.392128
 9757.262877697074, 10950046983.737549, -42021590144.48625, -193463074.94161284, 43425280599.8834
 9783.28916546678, 31501822888.479004, -47038092463.98661, -309401547.8750295, 56613096693.83473
 9809.315453236486, 57146084315.55179, -41593533479.94495, -326323730.5289731, 70680997921.11429
 9835.341741006192, 82722587383.52051, -22888061166.634186, -301282295.7432456, 85831116609.383
 9861.368028775898, 100550130911.8866, 10167696550.189606, -109430705.55673972, 101062964802.2142
 9887.394316545608, 103646056699.89484, 53448939730.0974, 95713283.16064611, 116616051162.53069
 9913.420604315317, 86079107349.19958, 99692427446.95561, 188373722.9630248, 131712673258.73027
 9939.446892085023, 47452804812.29239, 138983622250.31348, 257219769.762484, 146861438439.03104
 9965.47317985473, -9181102490.844482, 161343563271.60388, 358915514.5413973, 161604971682.4084
 9991.499467624439, -75303300353.72699, 159893828338.12332, 418342127.0606188, 176739351574.3456
 10017.525755394148, -140823479303.9795, 130634440077.77258, 342044400.89828813, 192085205708.518
 10043.552043163854, -194282838012.75482, 75399007774.20923, 229052953.693458, 208400777313.5244
 10069.57833093356, -225409675149.4406, -1093438820.8473969, -77869541.30111256, 225412340662.83228
 10095.604618703266, -226750523301.78128, -88943541919.87114, -376750251.7897643, 243571130078.33206
 10121.630906472972, -193791519227.70993, -176807826376.47296, -793992134.7435555, 262329546212.52045
 10147.657194242682, -127889821605.94025, -250930070182.31415, -1142456048.1416497, 281643412488.0649
 10173.683482012391, -34325635086.389694, -298588178093.3845, -1501488463.1736686, 300558486469.4653
 10199.709769782097, 74835834577.03125, -309765808690.646, -1744765326.3849213, 318682134071.954
 10225.736057551803, 185184896909.45825, -279142036726.65515, -1846168368.503847, 334988255091.0059
 10251.76234532151, 279523522076.3409, -208929747510.66107, -1818260073.8674622, 348981868953.8576
 10277.788633091215, 343678195848.9199, -107087029318.85576, -1532791550.539338, 359978726594.0078
 10303.814920860925, 367450601699.1603, 11646289169.628296, -1147662063.196278, 367636910373.14087
 10329.841208630634, 347833821641.22485, 131434732475.68034, -381969641.47255397, 371838139893.28754
 10355.86749640034, 288395713497.74713, 235362770745.9046, 407774543.94526684, 372247078829.5626
 10381.893784170046, 198446202574.21597, 311268490441.6531, 1418924409.8323872, 369148996753.93005
 10407.920071939752, 91423153633.75784, 350232990978.55817, 2350679784.395715, 361976334427.511
 10433.946359709458, -17884764349.281715, 350647418636.673, 3640488707.921141, 351122101483.8343
 10459.972647479168, -115015462648.21228, 315244015630.2334, 4738711244.654836, 335603637380.64185
 10485.998935248877, -188361145676.459, 253424726111.83984, 5969941457.873373, 315815853317.11847
